Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
O60524			5133428.10144253	
O60547			9176052.50979678	
O60551,P30419			22465912.75	
O60563			8841173.74646983	
O60566			4913714.97760082	
O60568			16835717.625	
O60573			6869351.13040573	
O60610			21000236.6458333	
O60613			1790827.02685084	
O60641,Q13492			11715948.75	
O60664			102813660.354167	
O60669			4073330.79380878	
O60678			37028066.5	
O60684			14170809.0510253	
O60684,P52294			2925888.09375	
O60701			59340149.7245354	
O60716			14120492.3125	
O60739,P41567			42838364.0877889	
O60749			14446362.6680516	
O60749,Q13596			18293657.4375	
O60762			25272157.8125	
O60763			16747041.846862	
O60784			9151060.79451614	
O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6,Q8N257,Q93079,Q96A08,Q99877,Q99879,Q99880			1161854263.48234	
O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6,Q8N257,Q93079,Q99877,Q99879,Q99880			2828015163	
O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6,Q93079,Q96A08,Q99877,Q99879,Q99880			9005239.16666667	
O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6,Q93079,Q99877,Q99879,Q99880			548857116.401153	
O60825			2084238.28125	
O60830,Q99595			3221438.18227451	
O60831			9583316.61867206	
O60832			38463101.2083333	
O60841			31974520.375	
O60869			42662567.9621986	
O60879			2842918.46392588	
O60884			31211040.0625	
O60885			4705658.24683847	
O60885,P25440			3959384.79166667	
O60885,Q15059			11541524.25	
O60888			69528742.4583333	
O60907,Q9BZK7			12412079.5	
O60921			4627730.29613296	
O60925			24964317.5416667	
O60936			3203346.6186867	
O75027			10727252.7893284	
O75037,Q7Z4S6			1812898.66686477	
O75083			137564594.333333	
O75116			14158019.7071337	
O75116,Q13464			1919890.66145833	
O75122			4226952.10522762	
O75122,Q7Z460			3591436.14583333	
O75128			5046391.19012023	
O75131			23713946.9185609	
O75145,O75334,O75335,Q13136			693865.985677083	
O75150			9761661.0097018	
O75150,Q5VTR2			1528319	
O75153			9919326.05196569	
O75165			2114972.375	
O75175			2388177.78502824	
O75179			3425736.21875	
O75179,Q8IWZ3			7918148.81226583	
O75190			3343619.69239148	
O75190,Q8WWF6			2677367.1581547	
O75208			5758216.19407134	
O75223			35029359	
O75251			7119890.20279084	
O75306			12661510.2058882	
O75312			3970516.125	
O75323			5562839.02786829	
O75340			112558378.5	
O75347			65041703.5747126	
O75348			2315089.596112	
O75348,O95670			5611856.4375	
O75351			18900863.3883978	
O75351,Q9UN37			3704240.99697265	
O75352			3644286	
O75367			57221328.9166667	
O75367,Q9P0M6			30550495.5122997	
O75368			42466775.5833333	
O75369			146215818.5	
O75369,P21333			152872073.661032	
O75369,P21333,Q14315			225484625.166667	
O75369,Q14315			48040294.4283802	
O75380			7150379.75	
O75381			2193456.96447925	
O75390			50259476.25	
O75391			16358468.5921159	
O75396			90413794.5416667	
O75400			22613654.5212027	
O75400,Q6NWY9			1403049.64335285	
O75431			4751646.69153843	
O75436			23273760.4034385	
O75438			8006967.12715967	
O75439			32128510.6778927	
O75448			1824611.68229167	
O75475			78135846.0165153	
O75477			12493240.9593236	
O75489			22820408.3624404	
O75494			22316405.5	
O75494,Q8WXF0			13226630.4475246	
O75496			2086900.75126835	
O75506			54965026.78125	
O75521			13831306.3860814	
O75525,Q07666,Q5VWX1			50423096.5	
O75525,Q07666,Q5VWX1,Q9H6N6			70949533.3333333	
O75526,P38159			10811488.25	
O75526,P38159,Q8N7X1,Q96E39			0	
O75526,P38159,Q96E39			7062782.75	
O75530			4231332.10416667	
O75531			165396894.5	
O75533			60873114.0625	
O75534			33021516.005798	
O75569			2745234.27252665	
O75592			6236693.79386109	
O75607			20676121.5	
O75608			4667521.38908404	
O75616			10245465.40625	
O75643			45971204.625	
O75663			16200926.9960396	
O75691			7271104.40366232	
O75694			39813377.426913	
O75695			2297195.65625	
O75717			7909187.54724856	
O75718			17315958.90625	
O75718,Q92791			5208761.59940731	
O75746			2104727.90625	
O75746,Q9UJS0			20978548.0833333	
O75781,Q8IXS6			3045499.22805397	
O75792			14084390.3726165	
O75794			4936785.01323126	
O75817			5071263.93505571	
O75818			3035327.42988913	
O75821			58974872.9166667	
O75822			67108749.8466687	
O75828,P16152			32302989.3541667	
O75832			13724178.5710616	
O75844			20344889.4791667	
O75874			51628603.375	
O75880			16844952.9316859	
O75886,Q92783			8428823.125	
O75914,Q13153,Q13177			5534562.43995931	
O75915			4558051.23925385	
O75934			16939752.390141	
O75935			15052612.1288005	
O75937			51205227.4166667	
O75940			6115356.93365813	
O75947			40269763.8172259	
O75955			16354944.7320873	
O75962			47936067.1785137	
O75964			48462676.875	
O75964,Q7Z4Y8			14469848.1786388	
O76003			35820115.875	
O76013,P02533,P08727,P13645,P13646,P19012,Q04695,Q14532,Q7Z3Y7,Q7Z3Y8,Q99456			1497603.90625	
O76021			60582423.25	
O76031			16884278.9787428	
O76070			3678880.79068766	
O76071			11985193.4684176	
O76094			36369061.5625	
O94760			7635861.65154878	
O94776			19250502.5262159	
O94788,P00352,P05091,P30837,P47895			16937865.25	
O94804,Q9H2G2			3068529.51271302	
O94805,O96019			26991157.8125	
O94808,Q06210			3946178.90668824	
O94826			21439995.0271942	
O94855			12762555.2604167	
O94874			3949676.41512102	
O94875			4013100.88541667	
O94880			5997501.61469944	
O94901			3817583.46855047	
O94903			5376127.25037135	
O94905			10972888.75	
O94906			22065663.9753372	
O94915			1144186.375	
O94925			89367249.5994335	
O94973			8011328.39254837	
O94973,O95782			32541852.6166568	
O94979			30280653.4375	
O94992			6559729.80733382	
O95059			2897171.75	
O95070			5240619.375	
O95140			1197895.92708333	
O95155			12068808.8947187	
O95163			12337623.032222	
O95166			4525637	
O95166,Q9H0R8			7809125.97916667	
O95182			2912709.99186269	
O95197			12730353.1905301	
O95202			25193677.5625	
O95218			23232900.5241832	
O95232			29436845.1096995	
O95235			5732038.35525651	
O95239			3759214.51868269	
O95239,Q2VIQ3			11810401.5477063	
O95249			2922342.25	
O95251			2281658.08333333	
O95292			49893223.478673	
O95292,Q9P0L0			9940435.625	
O95295			2124432.70262748	
O95298			5303902.42012748	
O95299			12308581.4232567	
O95302			14009090.5422616	
O95302,Q75LS8			0	
O95319,Q92879			15307302.7350822	
O95336			30713516.625	
O95340			4319901.05289052	
O95347			92257878.6875	
O95352			7522927.94392383	
O95361			20236695.7485964	
O95361,Q309B1			14205475.843643	
O95372			27706740.9562141	
O95373			80885220.946033	
O95376			2006831.33333333	
O95391			1709536.39493612	
O95394			19478556.5741907	
O95400			4757745.25	
O95433			39176493.3112332	
O95453			2985297.35416667	
O95456			35796674.6822253	
O95466			3885305.15367239	
O95470			8363298.99368817	
O95478			6463691.69563989	
O95486			4136645.38670985	
O95563			5210531.43687249	
O95571			4359587.88015934	
O95573			63332633.5054357	
O95602			12642732.8006919	
O95619			1387834.125674	
O95630			2990131.875	
O95639			9813632.5790592	
O95671			3263505.19222038	
O95678,P05787			36920202.0833333	
O95678,P05787,P13647			1808694.3125	
O95707			8155243.93194147	
O95716,P20336,P20337,Q96E17			1366123.37785013	
O95721			5230331.75	
O95747			30624387.0625	
O95747,Q9UEW8			6399135.19045521	
O95757			29425007.344178	
O95757,P34932			18488540.25	
O95757,P34932,Q92598			53239355.75	
O95757,Q92598			9453284.8125	
